DISTRICT,BEDS,SCHOOL,INDEX,PRIMARY,ELEM,MIDDLE,HIGH
NEWBERRY,3601001,NEWBERRY HIGH,74.36,,,,H
NEWBERRY,3601002,MID-CAROLINA HIGH,47.05,,,,H
NEWBERRY,3601004,WHITMIRE COMMUNITY SCHOOL (HIGH),67.08,,,M,H
NEWBERRY,3601005,BOUNDARY ST. ELEMENTARY,77.98,,E,,
NEWBERRY,3601008,GALLMAN ELEMENTARY,85.06,,E,,
NEWBERRY,3601009,POMARIA-GARMANY ELEMENTARY,67.87,,E,,
NEWBERRY,3601010,LITTLE MOUNTAIN ELEMENTARY,51.91,,E,,
NEWBERRY,3601015,REUBEN ELEMENTARY,74.29,,E,,
NEWBERRY,3601018,NEWBERRY ELEMENTARY,85.45,,E,,
NEWBERRY,3601019,MID-CAROLINA MIDDLE,47.56,,,M,
NEWBERRY,3601020,NEWBERRY MIDDLE,81.67,,,M,
NEWBERRY,3601021,WHITMIRE COMMUNITY SCHOOL (ELEMENTARY),69.96,,E,,
NEWBERRY,3601022,PROSPERITY-RIKARD ELEMENTARY,66.58,,E,,
NEWBERRY 01,3601999,DISTRICT TOTAL,68.03,,,,
OCONEE,3701005,SENECA HIGH,54.44,,,,H
OCONEE,3701006,WALHALLA MIDDLE,54.10,,,M,
OCONEE,3701007,WALHALLA HIGH,49.86,,,,H
OCONEE,3701008,WEST-OAK HIGH,57.27,,,,H
OCONEE,3701012,KEOWEE ELEMENTARY,55.09,,E,,
OCONEE,3701013,NORTHSIDE ELEMENTARY,61.06,,E,,
OCONEE,3701016,JAMES M. BROWN ELEMENTARY,81.78,,E,,
OCONEE,3701017,RAVENEL ELEMENTARY,66.09,,E,,
OCONEE,3701020,TAMASSEE-SALEM ELEMENTARY,69.43,,E,,
OCONEE,3701022,WALHALLA ELEMENTARY,61.01,,E,,
OCONEE,3701023,WESTMINSTER ELEMENTARY,69.69,,E,,
OCONEE,3701026,SENECA MIDDLE,63.30,,,M,
OCONEE,3701027,FAIR-OAK ELEMENTARY,70.51,,E,,
OCONEE,3701028,ORCHARD PARK ELEMENTARY,82.12,,E,,
OCONEE,3701030,WEST OAK MIDDLE,62.42,,,M,
OCONEE,3701031,BLUE RIDGE ELEMENTARY,88.02,,E,,
OCONEE 01,3701999,DISTRICT TOTAL,63.57,,,,
ORANGEBURG 3,3803018,HOLLY HILL-ROBERTS MIDDLE,89.73,,,M,
ORANGEBURG 3,3803019,HOLLY HILL ELEMENTARY,90.61,,E,,
ORANGEBURG 3,3803021,ST. JAMES-GAILLARD ELEMENTARY,87.16,,E,,
ORANGEBURG 3,3803022,VANCE-PROVIDENCE ELEMENTARY,92.31,,E,,
ORANGEBURG 3,3803047,ELLOREE ELEMENTARY,91.34,,E,M,
ORANGEBURG 3,3803048,LAKE MARION HIGH SCHOOL AND TECHNOLOGY CENTER,83.46,,,,H
ORANGEBURG 03,3803999,DISTRICT TOTAL,88.44,,,,
ORANGEBURG 4,3804024,EDISTO HIGH,65.15,,,,H
ORANGEBURG 4,3804025,CARVER EDISTO MIDDLE,79.32,,,M,
ORANGEBURG 4,3804026,EDISTO PRIMARY,85.90,P,,,
ORANGEBURG 4,3804049,BRANCHVILLE HIGH,56.25,,,M,H
ORANGEBURG 4,3804051,LOCKETT ELEMENTARY,58.44,,E,,
ORANGEBURG 4,3804053,EDISTO ELEMENTARY,75.86,,E,,
ORANGEBURG 4,3804054,HUNTER-KINARD-TYLER HIGH,87.81,,,M,H
ORANGEBURG 4,3804055,HUNTER-KINARD-TYLER ELEMENTARY,88.51,,E,,
ORANGEBURG 04,3804999,DISTRICT TOTAL,74.70,,,,
ORANGEBURG 5,3805010,BETHUNE-BOWMAN MIDDLE/HIGH,88.89,,,M,H
ORANGEBURG 5,3805012,BETHUNE-BOWMAN ELEMENTARY,91.57,,E,,
ORANGEBURG 5,3805026,ROBERT E. HOWARD MIDDLE,90.84,,,M,
ORANGEBURG 5,3805028,ORANGEBURG WILKINSON HIGH,78.64,,,,H
ORANGEBURG 5,3805034,MARSHALL ELEMENTARY,84.83,,E,,
ORANGEBURG 5,3805035,MELLICHAMP ELEMENTARY,96.70,,E,,
ORANGEBURG 5,3805036,BROOKDALE ELEMENTARY,83.80,,E,,
ORANGEBURG 5,3805037,WILLIAM J. CLARK MIDDLE,79.72,,,M,
ORANGEBURG 5,3805038,RIVELON ELEMENTARY,94.49,,E,,
ORANGEBURG 5,3805039,SHERIDAN ELEMENTARY,89.88,,E,,
ORANGEBURG 5,3805040,WHITTAKER ELEMENTARY,91.16,,E,,
ORANGEBURG 5,3805042,NORTH MIDDLE/HIGH,76.92,,,M,H
ORANGEBURG 5,3805044,DOVER ELEMENTARY,84.90,,E,,
ORANGEBURG 5,3805601,OCSD5 HIGH SCHOOL FOR HEALTH PROFESSIONS,53.08,,,,H
ORANGEBURG 05,3805999,DISTRICT TOTAL,84.18,,,,
PICKENS,3901001,DACUSVILLE MIDDLE,56.07,,,M,
PICKENS,3901002,R. C. EDWARDS MIDDLE,38.82,,,M,
PICKENS,3901003,D. W. DANIEL HIGH,36.81,,,,H
PICKENS,3901004,RICHARD H. GETTYS MIDDLE,56.79,,,M,
PICKENS,3901005,EASLEY HIGH,50.17,,,,H
PICKENS,3901006,LIBERTY HIGH,55.48,,,,H
PICKENS,3901007,PICKENS MIDDLE,65.65,,,M,
PICKENS,3901008,PICKENS HIGH,51.95,,,,H
PICKENS,3901014,CENTRAL ELEMENTARY,71.16,,E,,
PICKENS,3901015,CROSSWELL ELEMENTARY,66.93,,E,,
PICKENS,3901016,DACUSVILLE ELEMENTARY,66.21,,E,,
PICKENS,3901017,EAST END ELEMENTARY,62.01,,E,,
PICKENS,3901018,FOREST ACRES ELEMENTARY,51.04,,E,,
PICKENS,3901022,LIBERTY ELEMENTARY,72.35,,E,,
PICKENS,3901023,CLEMSON ELEMENTARY,27.79,,E,,
PICKENS,3901025,PICKENS ELEMENTARY,67.82,,E,,
PICKENS,3901027,SIX MILE ELEMENTARY,62.82,,E,,
PICKENS,3901028,WEST END ELEMENTARY,77.64,,E,,
PICKENS,3901029,MCKISSICK ELEMENTARY,87.64,,E,,
PICKENS,3901030,LIBERTY MIDDLE,67.98,,,M,
PICKENS,3901031,CHASTAIN ROAD ELEMENTARY,70.17,,E,,
PICKENS,3901032,HAGOOD ELEMENTARY,75.75,,E,,
PICKENS,3901033,AMBLER ELEMENTARY,70.89,,E,,
PICKENS 01,3901999,DISTRICT TOTAL,57.62,,,,
RICHLAND 1,4001002,COLUMBIA HIGH,85.46,,,,H
RICHLAND 1,4001004,DREHER HIGH,51.84,,,,H
RICHLAND 1,4001005,EAU CLAIRE HIGH,91.36,,,,H
RICHLAND 1,4001007,A. C. FLORA HIGH,41.34,,,,H
RICHLAND 1,4001010,HOPKINS MIDDLE,79.24,,,M,
RICHLAND 1,4001011,C. A. JOHNSON HIGH,96.09,,,,H
RICHLAND 1,4001012,W.J. KEENAN HIGH,85.05,,,,H
RICHLAND 1,4001013,LOWER RICHLAND HIGH,74.85,,,,H
RICHLAND 1,4001016,ST. ANDREWS MIDDLE,88.19,,,M,
RICHLAND 1,4001019,ALCORN MIDDLE,92.49,,,M,
RICHLAND 1,4001020,ARDEN ELEMENTARY,93.88,,E,,
RICHLAND 1,4001024,BRADLEY ELEMENTARY,91.78,,E,,
RICHLAND 1,4001025,BRENNEN ELEMENTARY,43.80,,E,,
RICHLAND 1,4001027,ANNIE BURNSIDE ELEMENTARY,89.30,,E,,
RICHLAND 1,4001031,CRAYTON MIDDLE,45.18,,,M,
RICHLAND 1,4001032,CAUGHMAN ROAD ELEMENTARY,76.93,,E,,
RICHLAND 1,4001034,W. G. SANDERS MIDDLE,75.06,,,M,
RICHLAND 1,4001036,GADSDEN ELEMENTARY,90.00,,E,,
RICHLAND 1,4001037,HEYWARD GIBBES MIDDLE,94.94,,,M,
RICHLAND 1,4001038,A. J. LEWIS GREENVIEW ELEMENTARY,85.68,,E,,
RICHLAND 1,4001039,HAND MIDDLE,56.16,,,M,
RICHLAND 1,4001040,HOPKINS ELEMENTARY,87.57,,E,,
RICHLAND 1,4001041,HORRELL HILL ELEMENTARY,79.52,,E,,
RICHLAND 1,4001042,HYATT PARK ELEMENTARY,98.49,,E,,
RICHLAND 1,4001045,LOGAN ELEMENTARY,79.49,,E,,
RICHLAND 1,4001046,MEADOWFIELD ELEMENTARY,69.45,,E,,
RICHLAND 1,4001047,MILL CREEK ELEMENTARY,81.13,,E,,
RICHLAND 1,4001048,A. C. MOORE ELEMENTARY,57.92,,E,,
RICHLAND 1,4001053,EDWARD E. TAYLOR ELEMENTARY,94.77,,E,,
RICHLAND 1,4001054,ROSEWOOD ELEMENTARY,31.62,,E,,
RICHLAND 1,4001055,SOUTH KILBOURNE ELEMENTARY,93.28,,E,,
RICHLAND 1,4001056,SATCHEL FORD ELEMENTARY,45.58,,E,,
RICHLAND 1,4001059,SANDEL ELEMENTARY,92.07,,E,,
RICHLAND 1,4001060,H. B. RHAME ELEMENTARY,88.77,,E,,
RICHLAND 1,4001062,J. P. THOMAS ELEMENTARY,94.04,,E,,
RICHLAND 1,4001064,WEBBER SCHOOL,89.14,,E,,
RICHLAND 1,4001067,W. A. PERRY MIDDLE,96.02,,,M,
RICHLAND 1,4001088,CARVER-LYON ELEMENTARY,90.45,,E,,
RICHLAND 1,4001089,BURTON PACK ELEMENTARY,96.20,,E,,
RICHLAND 1,4001090,PINE GROVE ELEMENTARY,91.55,,E,,
RICHLAND 1,4001091,SOUTHEAST MIDDLE,80.99,,,M,
RICHLAND 1,4001092,WATKINS-NANCE ELEMENTARY,97.97,,E,,
RICHLAND 1,4001093,FOREST HEIGHTS ELEMENTARY,91.42,,E,,
RICHLAND 1,4001094,BROCKMAN ELEMENTARY,24.46,,E,,
RICHLAND 1,4001601,RICHLAND ONE CHARTER MIDDLE COLLEGE,74.55,,,,H
RICHLAND 1,4001603,CAROLINA SCHOOL FOR INQUIRY,74.85,,E,,
RICHLAND 1,4001905,PENDERGRASS FAIRWOLD SCHOOL,94.68,,E,M,H
RICHLAND 01,4001999,DISTRICT TOTAL,74.38,,,,
RICHLAND 2,4002069,SPRING VALLEY HIGH,37.90,,,,H
RICHLAND 2,4002070,BETHEL-HANBERRY ELEMENTARY,41.14,,E,,
RICHLAND 2,4002072,DENT MIDDLE,55.39,,,M,
RICHLAND 2,4002073,L. W. CONDER ELEMENTARY,84.43,,E,,
RICHLAND 2,4002074,FOREST LAKE ELEMENTARY,67.32,,E,,
RICHLAND 2,4002075,JOSEPH KEELS ELEMENTARY,89.67,,E,,
RICHLAND 2,4002076,L. B. NELSON ELEMENTARY,59.54,,E,,
RICHLAND 2,4002077,WINDSOR ELEMENTARY,81.07,,E,,
RICHLAND 2,4002078,E. L. WRIGHT MIDDLE,48.95,,E,M,
RICHLAND 2,4002079,RICHLAND NORTHEAST HIGH,61.21,,,,H
RICHLAND 2,4002080,NORTH SPRINGS ELEMENTARY,53.98,,E,,
RICHLAND 2,4002081,PONTIAC ELEMENTARY,56.28,,E,,
RICHLAND 2,4002082,SUMMIT PARKWAY MIDDLE,44.15,,E,M,
RICHLAND 2,4002083,RICE CREEK ELEMENTARY,59.92,,E,,
RICHLAND 2,4002084,RIDGE VIEW HIGH,47.65,,,,H
RICHLAND 2,4002085,BLYTHEWOOD MIDDLE,26.25,,,M,
RICHLAND 2,4002086,KILLIAN ELEMENTARY,69.98,,E,,
RICHLAND 2,4002087,BOOKMAN ROAD ELEMENTARY,43.08,,E,,
RICHLAND 2,4002089,LAKE CAROLINA ELEMENTARY LOWER CAMPUS,26.18,P,,,
RICHLAND 2,4002090,ROUND TOP ELEMENTARY,25.60,,E,,
RICHLAND 2,4002091,KELLY MILL MIDDLE,42.57,,E,M,
RICHLAND 2,4002092,BLYTHEWOOD HIGH,25.87,,,,H
RICHLAND 2,4002093,SANDLAPPER ELEMENTARY,53.21,,E,,
RICHLAND 2,4002094,POLO ROAD ELEMENTARY,61.34,,E,,
RICHLAND 2,4002095,LONGLEAF MIDDLE,53.52,,,M,
RICHLAND 2,4002096,BRIDGE CREEK ELEMENTARY,60.63,,E,,
RICHLAND 2,4002097,LANGFORD ELEMENTARY,51.45,,E,,
RICHLAND 2,4002098,MULLER ROAD MIDDLE,37.78,,E,M,
RICHLAND 2,4002100,WESTWOOD HIGH,50.97,,,,H
RICHLAND 2,4002101,CATAWBA TRAIL ELEMENTARY,51.86,,E,,
RICHLAND 2,4002102,LAKE CAROLINA ELEMENTARY UPPER CAMPUS,20.12,,E,,
RICHLAND 2,4002600,RICHLAND TWO CHARTER HIGH,53.79,,,,H
RICHLAND 02,4002999,DISTRICT TOTAL,49.99,,,,
SALUDA,4101003,SALUDA HIGH,60.45,,,,H
SALUDA,4101005,SALUDA MIDDLE,71.88,,,M,
SALUDA,4101006,SALUDA ELEMENTARY,86.25,,E,,
SALUDA,4101007,SALUDA PRIMARY,89.38,P,,,
SALUDA,4101010,HOLLYWOOD ELEMENTARY,65.39,,E,,
SALUDA 01,4101999,DISTRICT TOTAL,73.43,,,,
SPARTANBURG 1,4201002,CHAPMAN HIGH,49.42,,,,H
SPARTANBURG 1,4201003,LANDRUM HIGH,42.15,,,,H
SPARTANBURG 1,4201004,T. E. MABRY MIDDLE,60.19,,,M,
SPARTANBURG 1,4201006,CAMPOBELLO-GRAMLING SCHOOL,52.87,,E,M,
SPARTANBURG 1,4201007,O. P. EARLE ELEMENTARY,59.77,,E,,
SPARTANBURG 1,4201009,HOLLY SPRINGS-MOTLOW ELEMENTARY,64.90,,E,,
SPARTANBURG 1,4201010,INMAN ELEMENTARY,70.44,,E,,
SPARTANBURG 1,4201011,NEW PROSPECT ELEMENTARY,61.32,,E,,
SPARTANBURG 1,4201087,LANDRUM MIDDLE,51.74,,,M,
SPARTANBURG 1,4201088,INMAN INTERMEDIATE,62.20,,E,,
SPARTANBURG 01,4201999,DISTRICT TOTAL,56.44,,,,
SPARTANBURG 2,4202012,BOILING SPRINGS HIGH,43.56,,,,H
SPARTANBURG 2,4202013,CHESNEE HIGH,57.74,,,,H
SPARTANBURG 2,4202014,BOILING SPRINGS MIDDLE,53.21,,,M,
SPARTANBURG 2,4202015,BOILING SPRINGS ELEMENTARY,58.11,,E,,
SPARTANBURG 2,4202018,CHESNEE ELEMENTARY,68.52,,E,,
SPARTANBURG 2,4202019,COOLEY SPRINGS-FINGERVILLE ELEMENTARY,77.60,,E,,
SPARTANBURG 2,4202020,JAMES H. HENDRIX  ELEMENTARY,73.52,,E,,
SPARTANBURG 2,4202023,MAYO ELEMENTARY,62.99,,E,,
SPARTANBURG 2,4202024,BOILING SPRINGS INTERMEDIATE,53.00,,E,,
SPARTANBURG 2,4202086,CHESNEE MIDDLE,59.96,,,M,
SPARTANBURG 2,4202087,CARLISLE-FOSTER'S GROVE ELEMENTARY,51.69,,E,,
SPARTANBURG 2,4202088,OAKLAND ELEMENTARY,52.45,,E,,
SPARTANBURG 2,4202089,RAINBOW LAKE MIDDLE,47.52,,,M,
SPARTANBURG 2,4202090,SHOALLY CREEK ELEMENTARY,59.83,,E,,
SPARTANBURG 02,4202999,DISTRICT TOTAL,55.46,,,,
SPARTANBURG 3,4203025,COWPENS MIDDLE,66.83,,,M,
SPARTANBURG 3,4203026,BROOME HIGH,60.06,,,,H
SPARTANBURG 3,4203027,MIDDLE SCHOOL OF PACOLET,56.36,,,M,
SPARTANBURG 3,4203028,CANNONS ELEMENTARY,75.67,,E,,
SPARTANBURG 3,4203030,COWPENS ELEMENTARY,74.94,,E,,
SPARTANBURG 3,4203031,CLIFDALE ELEMENTARY,81.38,,E,,
SPARTANBURG 3,4203034,PACOLET ELEMENTARY,68.64,,E,,
SPARTANBURG 03,4203999,DISTRICT TOTAL,67.77,,,,
SPARTANBURG 4,4204035,WOODRUFF MIDDLE,60.23,,,M,
SPARTANBURG 4,4204036,WOODRUFF HIGH,51.40,,,,H
SPARTANBURG 4,4204040,WOODRUFF PRIMARY,72.67,P,,,
SPARTANBURG 4,4204042,WOODRUFF ELEMENTARY,68.79,,E,,
SPARTANBURG 04,4204999,DISTRICT TOTAL,63.50,,,,
SPARTANBURG 5,4205043,JAMES F. BYRNES HIGH,45.38,,,,H
SPARTANBURG 5,4205045,D. R. HILL MIDDLE,61.38,,,M,
SPARTANBURG 5,4205046,DUNCAN ELEMENTARY,75.75,,E,,
SPARTANBURG 5,4205049,REIDVILLE ELEMENTARY,38.46,,E,,
SPARTANBURG 5,4205052,WELLFORD ACADEMY OF SCIENCE AND TECHNOLOGY,71.12,,E,,
SPARTANBURG 5,4205089,BEECH SPRINGS INTERMEDIATE,64.40,,E,,
SPARTANBURG 5,4205090,RIVER RIDGE ELEMENTARY,54.40,,E,,
SPARTANBURG 5,4205091,BERRY SHOALS INTERMEDIATE,39.12,,E,,
SPARTANBURG 5,4205092,FLORENCE CHAPEL MIDDLE,41.03,,,M,
SPARTANBURG 5,4205094,ABNER CREEK ACADEMY,43.81,,E,,
SPARTANBURG 5,4205095,LYMAN ELEMENTARY,65.40,,E,,
SPARTANBURG 05,4205999,DISTRICT TOTAL,53.25,,,,
SPARTANBURG 6,4206053,DORMAN HIGH,51.99,,,,H
SPARTANBURG 6,4206054,FAIRFOREST MIDDLE,79.42,,,M,
SPARTANBURG 6,4206056,L. E. GABLE MIDDLE,51.36,,,M,
SPARTANBURG 6,4206057,ARCADIA ELEMENTARY,83.46,,E,,
SPARTANBURG 6,4206058,FAIRFOREST ELEMENTARY,74.64,,E,,
SPARTANBURG 6,4206060,R. P. DAWKINS MIDDLE,54.20,,,M,
SPARTANBURG 6,4206061,LONE OAK ELEMENTARY,88.70,,E,,
SPARTANBURG 6,4206062,PAULINE GLENN SPRINGS ELEMENTARY,45.26,,E,,
SPARTANBURG 6,4206065,JESSE S. BOBO ELEMENTARY,90.64,,E,,
SPARTANBURG 6,4206066,WEST VIEW ELEMENTARY,61.68,,E,,
SPARTANBURG 6,4206067,WOODLAND HEIGHTS ELEMENTARY,80.09,,E,,
SPARTANBURG 6,4206086,ROEBUCK ELEMENTARY,67.23,,E,,
SPARTANBURG 6,4206088,ANDERSON MILL ELEMENTARY,52.35,,E,,
SPARTANBURG 06,4206999,DISTRICT TOTAL,63.33,,,,
SPARTANBURG 7,4207068,CARVER MIDDLE,89.75,,,M,
SPARTANBURG 7,4207071,MCCRACKEN MIDDLE,43.77,,,M,
SPARTANBURG 7,4207073,SPARTANBURG HIGH,61.17,,,,H
SPARTANBURG 7,4207074,JESSE BOYD ELEMENTARY,51.77,,E,,
SPARTANBURG 7,4207075,E. P. TODD SCHOOL,78.82,,E,M,
SPARTANBURG 7,4207077,THE CLEVELAND ACADEMY OF LEADERSHIP,93.04,,E,,
SPARTANBURG 7,4207079,HOUSTON ELEMENTARY,85.53,,E,,
SPARTANBURG 7,4207082,PINE ST. ELEMENTARY,38.22,,E,,
SPARTANBURG 7,4207084,W. HERBERT CHAPMAN ELEMENTARY,89.89,,E,,
SPARTANBURG 7,4207085,MARY H. WRIGHT ELEMENTARY,92.66,,E,,
SPARTANBURG 7,4207200,MEETING STREET ACADEMY-SPARTANBURG,86.59,,E,,
SPARTANBURG 7,4207800,SPARTANBURG SCHOOL DISTRICT 7 EARLY CHILDHOOD CENTER,89.89,P,,,
SPARTANBURG 07,4207999,DISTRICT TOTAL,69.80,,,,
SUMTER,4301002,EBENEZER MIDDLE,66.40,,,M,
SUMTER,4301003,FURMAN MIDDLE,85.18,,,M,
SUMTER,4301004,HILLCREST MIDDLE,55.51,,,M,
SUMTER,4301006,MAYEWOOD MIDDLE,90.97,,,M,
SUMTER,4301008,CHERRYVALE ELEMENTARY,85.57,,E,,
SUMTER,4301009,F. J. DELAINE ELEMENTARY,97.66,,E,,
SUMTER,4301010,R. E. DAVIS ELEMENTARY,91.88,,E,,
SUMTER,4301012,HIGH HILLS ELEMENTARY,51.78,,E,,
SUMTER,4301014,MANCHESTER ELEMENTARY,90.15,,E,,
SUMTER,4301016,OAKLAND PRIMARY,58.40,P,,,
SUMTER,4301017,RAFTING CREEK ELEMENTARY,86.55,,E,,
SUMTER,4301019,SHAW HEIGHTS ELEMENTARY,57.01,,E,,
SUMTER,4301021,ALICE DRIVE MIDDLE,58.50,,,M,
SUMTER,4301022,BATES MIDDLE,70.71,,,M,
SUMTER,4301024,SUMTER HIGH,61.33,,,,H
SUMTER,4301026,ALICE DRIVE ELEMENTARY,54.01,,E,,
SUMTER,4301029,CROSSWELL DRIVE ELEMENTARY,95.19,,E,,
SUMTER,4301031,LEMIRA ELEMENTARY,92.21,,E,,
SUMTER,4301033,MILLWOOD ELEMENTARY,61.26,,E,,
SUMTER,4301038,WILDER ELEMENTARY,82.43,,E,,
SUMTER,4301039,WILLOW DRIVE ELEMENTARY,87.79,,E,,
SUMTER,4301040,POCALLA SPRINGS ELEMENTARY,77.89,,E,,
SUMTER,4301041,KINGSBURY ELEMENTARY,70.79,,E,,
SUMTER,4301042,CRESTWOOD HIGH,66.34,,,,H
SUMTER,4301043,LAKEWOOD HIGH,74.38,,,,H
SUMTER,4301044,CHESTNUT OAKS MIDDLE,92.10,,,M,
SUMTER 01,4301999,DISTRICT TOTAL,71.28,,,,
UNION,4401002,JONESVILLE MIDDLE,60.56,,,M,
UNION,4401003,LOCKHART SCHOOL,70.18,,E,M,
UNION,4401004,SIMS MIDDLE,77.25,,,M,
UNION,4401005,UNION COUNTY HIGH,64.16,,,,H
UNION,4401007,BUFFALO ELEMENTARY,90.35,,E,,
UNION,4401012,FOSTER PARK ELEMENTARY,86.04,,E,,
UNION,4401014,JONESVILLE ELEMENTARY,72.94,,E,,
UNION,4401017,MONARCH ELEMENTARY,73.25,,E,,
UNION 01,4401999,DISTRICT TOTAL,75.26,,,,
WILLIAMSBURG,4501006,HEMINGWAY HIGH,85.53,,,,H
WILLIAMSBURG,4501007,KINGSTREE MIDDLE,89.56,,,M,
WILLIAMSBURG,4501008,KINGSTREE SENIOR HIGH,87.21,,,,H
WILLIAMSBURG,4501012,C. E. MURRAY HIGH,79.13,,,,H
WILLIAMSBURG,4501013,W.M. ANDERSON PRIMARY,94.02,P,,,
WILLIAMSBURG,4501017,GREELEYVILLE ELEMENTARY,88.85,,E,,
WILLIAMSBURG,4501021,KENNETH GARDNER ELEMENTARY,89.83,,E,,
WILLIAMSBURG,4501024,HEMINGWAY ELEMENTARY,94.08,,E,,
WILLIAMSBURG,4501025,HEMINGWAY MB LEE MIDDLE,89.77,,,M,
WILLIAMSBURG,4501027,C. E. MURRAY MIDDLE,84.25,,,M,
WILLIAMSBURG,4501613,D. P. COOPER CHARTER  SCHOOL,94.87,,E,M,
WILLIAMSBURG 01,4501999,DISTRICT TOTAL,89.63,,,,
YORK 1,4601003,YORK COMPREHENSIVE HIGH,56.81,,,,H
YORK 1,4601008,JEFFERSON ELEMENTARY,83.86,,E,,
YORK 1,4601044,YORK MIDDLE,59.14,,,M,
YORK 1,4601045,HICKORY GROVE-SHARON ELEMENTARY,67.07,,E,,
YORK 1,4601046,HUNTER STREET ELEMENTARY,61.94,,E,,
YORK 1,4601047,COTTON BELT ELEMENTARY,72.58,,E,,
YORK 1,4601048,YORK INTERMEDIATE,65.76,,E,,
YORK 1,4601049,HAROLD C. JOHNSON ELEMENTARY,86.17,,E,,
YORK 01,4601999,DISTRICT TOTAL,65.83,,,,
YORK 2,4602010,CLOVER HIGH,33.45,,,,H
YORK 2,4602011,BETHANY ELEMENTARY,62.95,,E,,
YORK 2,4602012,BETHEL ELEMENTARY,24.89,,E,,
YORK 2,4602013,CLOVER MIDDLE,48.01,,,M,
YORK 2,4602014,KINARD ELEMENTARY,52.48,,E,,
YORK 2,4602016,OAKRIDGE MIDDLE,18.24,,,M,
YORK 2,4602018,LARNE ELEMENTARY,64.03,,E,,
YORK 2,4602047,GRIGGS ROAD ELEMENTARY,32.26,,E,,
YORK 2,4602051,CROWDERS CREEK ELEMENTARY,20.74,,E,,
YORK 2,4602052,OAKRIDGE ELEMENTARY,25.19,,E,,
YORK 02,4602999,DISTRICT TOTAL,35.53,,,,
YORK 3,4603015,CASTLE HEIGHTS MIDDLE,60.10,,,M,
YORK 3,4603016,NORTHWESTERN HIGH,48.92,,,,H
YORK 3,4603017,ROCK HILL HIGH,50.72,,,,H
YORK 3,4603018,W. C. SULLIVAN MIDDLE,59.95,,,M,
YORK 3,4603019,RAWLINSON ROAD MIDDLE,57.84,,,M,
YORK 3,4603020,BELLEVIEW ELEMENTARY,75.41,,E,,
YORK 3,4603022,EBENEZER AVENUE ELEMENTARY,77.33,,E,,
YORK 3,4603023,EBINPORT ELEMENTARY,53.47,,E,,
YORK 3,4603026,FINLEY ROAD ELEMENTARY,83.38,,E,,
YORK 3,4603027,LESSLIE ELEMENTARY,62.39,,E,,
YORK 3,4603029,NORTHSIDE ELEMENTARY,72.11,,E,,
YORK 3,4603030,OAKDALE ELEMENTARY,66.47,,E,,
YORK 3,4603031,RICHMOND DRIVE ELEMENTARY,55.89,,E,,
YORK 3,4603032,ROSEWOOD ELEMENTARY,66.61,,E,,
YORK 3,4603033,SUNSET PARK CENTER FOR ACCELERATED STUDIES,57.96,,E,,
YORK 3,4603034,THE CHILDREN'S SCHOOL AT SYLVIA CIRCLE,67.26,P,,,
YORK 3,4603035,YORK ROAD ELEMENTARY,77.41,,E,,
YORK 3,4603036,INDEPENDENCE ELEMENTARY,61.82,,E,,
YORK 3,4603037,MOUNT GALLANT ELEMENTARY,54.09,,E,,
YORK 3,4603038,SALUDA TRAIL MIDDLE,58.54,,,M,
YORK 3,4603039,INDIA HOOK ELEMENTARY,40.43,,E,,
YORK 3,4603040,OLD POINTE ELEMENTARY,52.85,,E,,
YORK 3,4603041,SOUTH POINTE HIGH,55.03,,,,H
YORK 3,4603042,DUTCHMAN CREEK MIDDLE,46.95,,,M,
YORK 3,4603043,MOUNT HOLLY ELEMENTARY,64.20,,E,,
YORK 3,4603602,THE PALMETTO SCHOOL AT THE CHILDREN’S ATTENTION HOME,92.00,,E,M,
YORK 3,4603800,CENTRAL CHILD DEVELOPMENT CENTER,76.12,P,,,
YORK 03,4603999,DISTRICT TOTAL,58.24,,,,
YORK 4,4604036,FORT MILL HIGH,17.53,,,,H
YORK 4,4604037,FORT MILL MIDDLE,21.25,,,M,
YORK 4,4604042,RIVERVIEW ELEMENTARY,38.68,,E,,
YORK 4,4604043,FORT MILL ELEMENTARY,29.99,,E,,
YORK 4,4604048,GOLD HILL ELEMENTARY,15.54,,E,,
YORK 4,4604049,GOLD HILL MIDDLE,15.82,,,M,
YORK 4,4604051,ORCHARD PARK ELEMENTARY,18.31,,E,,
YORK 4,4604052,SPRINGFIELD ELEMENTARY,25.66,,E,,
YORK 4,4604053,SPRINGFIELD MIDDLE,24.54,,,M,
YORK 4,4604054,NATION FORD HIGH,23.50,,,,H
YORK 4,4604055,PLEASANT KNOLL ELEMENTARY,19.53,,E,,
YORK 4,4604056,SUGAR CREEK ELEMENTARY,30.70,,E,,
YORK 4,4604057,BANKS TRAIL MIDDLE,24.10,,,M,
YORK 4,4604058,TEGA CAY ELEMENTARY,9.80,,E,,
YORK 4,4604059,DOBY'S BRIDGE ELEMENTARY,8.90,,E,,
YORK 04,4604999,DISTRICT TOTAL,21.20,,,,
SC PUBLIC CHARTER DISTRICT,4701002,CALHOUN FALLS CHARTER SCHOOL,79.11,,,M,H
SC PUBLIC CHARTER DISTRICT,4701003,SC CONNECTIONS ACADEMY,52.10,,E,M,H
SC PUBLIC CHARTER DISTRICT,4701004,SC VIRTUAL CHARTER SCHOOL,64.09,,E,M,H
SC PUBLIC CHARTER DISTRICT,4701006,SPARTANBURG PREPARATORY SCHOOL,60.31,,E,M,
