District,SIDN,School,INDEX
ABBEVILLE,0160001,ABBEVILLE HIGH,67.6
ABBEVILLE,0160003,DIXIE HIGH,53.4
AIKEN,0201001,SILVER BLUFF HIGH,61.8
AIKEN,0201002,AIKEN HIGH,58.6
AIKEN,0201003,SOUTH AIKEN HIGH,43.2
AIKEN,0201006,MIDLAND VALLEY HIGH,62.1
AIKEN,0201012,NORTH AUGUSTA HIGH,43.3
AIKEN,0201015,WAGENER-SALLY HIGH,72.6
AIKEN,0201060,RIDGE SPRING-MONETTA  HIGH,77
AIKEN,0201061,AIKEN SCHOLARS ACADEMY,25.6
ALLENDALE,0301001,ALLENDALE FAIRFAX HIGH,90.4
ANDERSON 1,0401001,PALMETTO HIGH,57.8
ANDERSON 1,0401002,POWDERSVILLE HIGH,36
ANDERSON 1,0401003,WREN HIGH,36.8
ANDERSON 2,0402012,BELTON HONEA PATH HIGH,51.9
ANDERSON 3,0403022,CRESCENT HIGH,64.5
ANDERSON 4,0404027,PENDLETON HIGH,52.1
ANDERSON 5,0405038,T. L. HANNA HIGH,43
ANDERSON 5,0405048,WESTSIDE HIGH,69.2
ANDERSON 5,0405601,ANDERSON  FIVE CHARTER SCHOOL,52.1
BAMBERG 1,0501001,BAMBERG-EHRHARDT HIGH,68.8
BAMBERG 2,0502007,DENMARK OLAR HIGH,88.1
BARNWELL 19,0619001,BLACKVILLE-HILDA HIGH,89.1
BARNWELL 29,0629006,WILLISTON-ELKO HIGH,71.4
BARNWELL 45,0645009,BARNWELL HIGH,69.6
BEAUFORT,0701002,BEAUFORT HIGH,50
BEAUFORT,0701003,HILTON HEAD ISLAND HIGH,43.1
BEAUFORT,0701004,BATTERY CREEK HIGH,66.2
BEAUFORT,0701030,BLUFFTON HIGH,46.7
BEAUFORT,0701036,WHALE BRANCH EARLY COLLEGE HIGH,74.4
BEAUFORT,0701039,MAY RIVER HIGH,36.7
BERKELEY,0801001,STRATFORD HIGH,54.7
BERKELEY,0801002,BERKELEY HIGH,56
BERKELEY,0801006,CROSS HIGH,84.1
BERKELEY,0801007,GOOSE CREEK HIGH,59.4
BERKELEY,0801008,HANAHAN HIGH,44.6
BERKELEY,0801043,TIMBERLAND HIGH,72.3
BERKELEY,0801049,CANE BAY HIGH,41.2
BERKELEY,0801051,BERKELEY COUNTY MIDDLE COLLEGE HIGH,37.9
BERKELEY,0801056,PHILIP SIMMONS HIGH,34.4
CALHOUN,0901001,CALHOUN COUNTY HIGH,77.6
CHARLESTON,1001001,BAPTIST HILL HIGH,88.3
CHARLESTON,1001002,NORTH CHARLESTON HIGH,87.6
CHARLESTON,1001008,GARRETT ACADEMY OF TECHNOLOGY,91.3
CHARLESTON,1001010,BURKE HIGH,94
CHARLESTON,1001014,WANDO HIGH,18.8
CHARLESTON,1001018,MILITARY MAGNET ACADEMY,86.4
CHARLESTON,1001020,ST. JOHNS HIGH,80.7
CHARLESTON,1001022,RB STALL HIGH,75.3
CHARLESTON,1001098,CHARLESTON SCHOOL OF THE ARTS,21.6
CHARLESTON,1001099,ACADEMIC MAGNET HIGH,8.8
CHARLESTON,1001104,WEST ASHLEY HIGH,55.4
CHARLESTON,1001615,GREG MATHIS CHARTER HIGH,97.1
CHARLESTON,1001616,JAMES ISLAND CHARTER HIGH,35.2
CHARLESTON,1001620,CHARLESTON CHARTER SCHOOL FOR MATH AND SCIENCE,55.5
CHARLESTON,1001628,PATTISON'S ACADEMY FOR COMPREHENSIVE EDUCATION,89.2
CHARLESTON,1001630,ALLEGRO CHARTER SCHOOL OF MUSIC,56.3
CHEROKEE,1101001,BLACKSBURG HIGH,62.8
CHEROKEE,1101003,GAFFNEY HIGH,65.8
CHESTER,1201002,CHESTER SENIOR HIGH,75.7
CHESTER,1201005,GREAT FALLS HIGH,77.8
CHESTER,1201006,LEWISVILLE HIGH,54.7
CHESTERFIELD,1301001,CHERAW HIGH,68.4
CHESTERFIELD,1301002,CHESTERFIELD HIGH,60
CHESTERFIELD,1301006,MCBEE HIGH,64.2
CHESTERFIELD,1301007,CENTRAL HIGH,71.4
CLARENDON 1,1401001,SCOTT'S BRANCH HIGH,89.8
CLARENDON 2,1402007,MANNING HIGH,80.3
CLARENDON 2,1402610,PHOENIX CHARTER HIGH,96
CLARENDON 3,1403016,EAST CLARENDON MIDDLE-HIGH,59.5
COLLETON,1501005,COLLETON COUNTY HIGH,76.4
DARLINGTON,1601005,HARTSVILLE HIGH,62.4
DARLINGTON,1601006,LAMAR HIGH,77.5
DARLINGTON,1601030,DARLINGTON HIGH,78.3
DARLINGTON,1601033,"MAYO HIGH FOR MATH, SCIENCE, & TECHNOLOGY",47.6
DILLON 3,1703019,LATTA HIGH,63
DILLON 4,1704002,LAKE VIEW HIGH,83.3
