District,SIDN,School,INDEX
RICHLAND 1,4001002,COLUMBIA HIGH,86
RICHLAND 1,4001004,DREHER HIGH,51.5
RICHLAND 1,4001005,EAU CLAIRE HIGH,92
RICHLAND 1,4001007,A. C. FLORA HIGH,47.7
RICHLAND 1,4001011,C. A. JOHNSON HIGH,96.3
RICHLAND 1,4001012,W.J. KEENAN HIGH,86.1
RICHLAND 1,4001013,LOWER RICHLAND HIGH,80
RICHLAND 1,4001601,RICHLAND ONE CHARTER MIDDLE COLLEGE,75.3
RICHLAND 1,4001905,PENDERGRASS FAIRWOLD SCHOOL,90.6
RICHLAND 2,4002069,SPRING VALLEY HIGH,44.5
RICHLAND 2,4002079,RICHLAND NORTHEAST HIGH,69.2
RICHLAND 2,4002084,RIDGE VIEW HIGH,51.5
RICHLAND 2,4002092,BLYTHEWOOD HIGH,32.9
RICHLAND 2,4002100,WESTWOOD HIGH,57.2
SALUDA,4101003,SALUDA HIGH,70.9
SPARTANBURG 1,4201002,CHAPMAN HIGH,50.5
SPARTANBURG 1,4201003,LANDRUM HIGH,45.5
SPARTANBURG 2,4202012,BOILING SPRINGS HIGH,50.6
SPARTANBURG 2,4202013,CHESNEE HIGH,54
SPARTANBURG 3,4203026,BROOME HIGH,62.1
SPARTANBURG 4,4204036,WOODRUFF HIGH,59.8
SPARTANBURG 5,4205043,JAMES F. BYRNES HIGH,47.7
SPARTANBURG 6,4206053,DORMAN HIGH,61.7
SPARTANBURG 7,4207073,SPARTANBURG HIGH,65.9
SUMTER,4301024,SUMTER HIGH SCHOOL,67.3
SUMTER,4301042,CRESTWOOD HIGH,68.5
SUMTER,4301043,LAKEWOOD HIGH,80.3
UNION,4401005,UNION COUNTY HIGH,70.1
WILLIAMSBURG,4501006,HEMINGWAY HIGH,87
WILLIAMSBURG,4501008,KINGSTREE SENIOR HIGH,89.1
WILLIAMSBURG,4501012,C. E. MURRAY HIGH,86
YORK 1 (YORK),4601003,YORK COMPREHENSIVE HIGH,59.7
YORK 2 (CLOVER),4602010,CLOVER HIGH,29.1
YORK 3 (ROCK HILL),4603016,NORTHWESTERN HIGH,52.1
YORK 3 (ROCK HILL),4603017,ROCK HILL HIGH,56.9
YORK 3 (ROCK HILL),4603041,SOUTH POINTE HIGH,58
YORK 4 (FORT MILL),4604036,FORT MILL HIGH,16.5
YORK 4 (FORT MILL),4604054,NATION FORD HIGH,25.6
YORK 4 (FORT MILL),4604061,CATAWBA RIDGE HIGH SCHOOL,14.7
SC PUBLIC CHARTER DISTRICT,4701010,PALMETTO SCHOLARS ACADEMY,25.9
SC PUBLIC CHARTER DISTRICT,4701011,YORK PREPARATORY ACADEMY,36
SC PUBLIC CHARTER DISTRICT,4701014,SC WHITMORE SCHOOL,43.8
SC PUBLIC CHARTER DISTRICT,4701020,FOX CREEK HIGH,32.7
SC PUBLIC CHARTER DISTRICT,4701021,MIDLANDS MIDDLE COLLEGE,50
SC PUBLIC CHARTER DISTRICT,4701026,GREEN CHARTER SCHOOL,27.6
SC PUBLIC CHARTER DISTRICT,4701027,BRIDGES PREPARATORY SCHOOL,39.3
SC PUBLIC CHARTER DISTRICT,4701029,PEE DEE MATH SCI & TECH,84
SC PUBLIC CHARTER DISTRICT,4701033,RIVERWALK ACADEMY,51
SC PUBLIC CHARTER DISTRICT,4701034,HIGH POINT ACADEMY,58.8
SC PUBLIC CHARTER DISTRICT,4701037,LOWCOUNTRY MONTESSORI SCHOOL,47.8
SC PUBLIC CHARTER DISTRICT,4701039,NEXT HIGH,56
SC PUBLIC CHARTER DISTRICT,4701043,GREENVILLE TECHNICAL CHARTER HIGH SCHOOL,25.4
SC PUBLIC CHARTER DISTRICT,4701047,GREER MIDDLE COLLEGE CHARTER HIGH,15.7
SC PUBLIC CHARTER DISTRICT,4701048,LEGACY EARLY COLLEGE,81.9
SC PUBLIC CHARTER DISTRICT,4701053,POLARIS TECH CHARTER SCHOOL,76.3
SC PUBLIC CHARTER DISTRICT,4701055,CHARLESTON  ADVANCEMENT ACADEMY HIGH SCHOOL,61.8
SC PUBLIC CHARTER DISTRICT,4701056,MIDLANDS ARTS CONSERVATORY,51.4
SC PUBLIC CHARTER DISTRICT,4701064,LOWCOUNTRY ACCELERATION ACADEMY,46.3
SC PUBLIC CHARTER DISTRICT,4701065,LEARN4LIFE CHARLESTON,44.2
CHARTER INSTITUTE AT ERSKINE,4801004,ROYAL LIVE OAKS ACADEMY OF THE ARTS AND SCIENCES CHARTER SCHOOL,74.9
CHARTER INSTITUTE AT ERSKINE,4801005,OCEANSIDE COLLEGIATE ACADEMY,12.1
CHARTER INSTITUTE AT ERSKINE,4801007,GRAY COLLEGIATE ACADEMY,35.2
CHARTER INSTITUTE AT ERSKINE,4801008,COASTAL LEADERSHIP ACADEMY,61.1
CHARTER INSTITUTE AT ERSKINE,4801009,MIDLANDS STEM INSTITUTE,73.6
CHARTER INSTITUTE AT ERSKINE,4801010,ODYSSEY ONLINE LEARNING,61.9
CHARTER INSTITUTE AT ERSKINE,4801011,SOUTH CAROLINA VIRTUAL CHARTER SCHOOL,63.1
CHARTER INSTITUTE AT ERSKINE,4801012,CYBER ACADEMY OF SOUTH CAROLINA,65.7
CHARTER INSTITUTE AT ERSKINE,4801013,CALHOUN FALLS CHARTER SCHOOL,78.1
CHARTER INSTITUTE AT ERSKINE,4801016,LEGION COLLEGIATE ACADEMY,18.5
CHARTER INSTITUTE AT ERSKINE,4801018,SC CONNECTIONS ACADEMY,55.2
CHARTER INSTITUTE AT ERSKINE,4801019,LOWCOUNTRY LEADERSHIP CHARTER SCHOOL,47.1
CHARTER INSTITUTE AT ERSKINE,4801021,HORSE CREEK ACADEMY,45.6
CHARTER INSTITUTE AT ERSKINE,4801022,BRASHIER MIDDLE COLLEGE CHARTER HIGH,16.7
CHARTER INSTITUTE AT ERSKINE,4801023,LOWCOUNTRY CONNECTION ACADEMY,55.6
CHARTER INSTITUTE AT ERSKINE,4801024,THE SOUTH CAROLINA PREPARATORY ACADEMY,45.5
GOVERNOR'S SCHOOL FOR AGRICULTURE AT JOHN DE LA HOWE,5205003,GOVERNOR'S SCHOOL FOR AGRICULTURE AT JOHN DE LA HOWE,18.3
SC SCHOOL FOR THE DEAF AND THE BLIND,5207005,SC SCHOOL FOR THE BLIND HIGH,74.1
SC SCHOOL FOR THE DEAF AND THE BLIND,5207007,SC SCHOOL FOR THE DEAF HIGH,78.3
SC SCHOOL FOR THE DEAF AND THE BLIND,5207011,CEDAR SPRINGS ACADEMY,96.6
SC DEPARTMENT OF JUVENILE JUSTICE,5208001,SC DEPARTMENT OF JUVENILE JUSTICE,58.7
PALMETTO UNIFIED,5209001,PALMETTO UNIFIED,51.9
GOVERNOR'S SCHOOLS,5364001,SC GOVERNOR'S SCHOOL FOR ARTS AND HUMANITIES,20.4
GOVERNOR'S SCHOOLS,5395001,SC GOVERNOR'S SCHOOL FOR SCIENCE AND MATHEMATICS,13.9
