District,BEDS,School,index,,,,
RICHLAND 1,4001012,W.J. KEENAN HIGH,86.86,,,,
RICHLAND 1,4001013,LOWER RICHLAND HIGH,77.54,,,,
RICHLAND 1,4001601,RICHLAND ONE CHARTER MIDDLE COLLEGE,71.28,,,,
RICHLAND 1,4001905,PENDERGRASS FAIRWOLD SCHOOL,92.16,,,,
RICHLAND 2,4002069,SPRING VALLEY HIGH,41.89,,,,
RICHLAND 2,4002079,RICHLAND NORTHEAST HIGH,63.87,,,,
RICHLAND 2,4002084,RIDGE VIEW HIGH,50.37,,,,
RICHLAND 2,4002092,BLYTHEWOOD HIGH,27.88,,,,
RICHLAND 2,4002100,WESTWOOD HIGH,53.44,,,,
RICHLAND 2,4002600,RICHLAND TWO CHARTER HIGH,65.97,,,,
SALUDA,4101003,SALUDA HIGH,64.09,,,,
SPARTANBURG 1,4201002,CHAPMAN HIGH,51.50,,,,
SPARTANBURG 1,4201003,LANDRUM HIGH,44.70,,,,
SPARTANBURG 2,4202012,BOILING SPRINGS HIGH,46.40,,,,
SPARTANBURG 2,4202013,CHESNEE HIGH,59.20,,,,
SPARTANBURG 3,4203026,BROOME HIGH,60.48,,,,
SPARTANBURG 4,4204036,WOODRUFF HIGH,53.88,,,,
SPARTANBURG 5,4205043,JAMES F. BYRNES HIGH,47.44,,,,
SPARTANBURG 6,4206053,DORMAN HIGH,54.14,,,,
SPARTANBURG 7,4207073,SPARTANBURG HIGH,61.47,,,,
SUMTER,4301024,SUMTER HIGH,62.36,,,,
SUMTER,4301042,CRESTWOOD HIGH,66.67,,,,
SUMTER,4301043,LAKEWOOD HIGH,77.94,,,,
UNION,4401005,UNION COUNTY HIGH,67.45,,,,
WILLIAMSBURG,4501006,HEMINGWAY HIGH,88.07,,,,
WILLIAMSBURG,4501008,KINGSTREE SENIOR HIGH,88.94,,,,
WILLIAMSBURG,4501012,C. E. MURRAY HIGH,81.13,,,,
YORK 1 (YORK),4601003,YORK COMPREHENSIVE HIGH,57.55,,,,
YORK 2 (CLOVER),4602010,CLOVER HIGH,33.93,,,,
YORK 3 (ROCK HILL),4603016,NORTHWESTERN HIGH,50.40,,,,
YORK 3 (ROCK HILL),4603017,ROCK HILL HIGH,52.95,,,,
YORK 3 (ROCK HILL),4603041,SOUTH POINTE HIGH,59.96,,,,
YORK 4 (FORT MILL),4604036,FORT MILL HIGH,18.54,,,,
YORK 4 (FORT MILL),4604054,NATION FORD HIGH,25.07,,,,
SC PUBLIC CHARTER DISTRICT,4701002,CALHOUN FALLS CHARTER SCHOOL,76.55,,,,
SC PUBLIC CHARTER DISTRICT,4701003,SC CONNECTIONS ACADEMY,54.82,,,,
SC PUBLIC CHARTER DISTRICT,4701004,SC VIRTUAL CHARTER SCHOOL,65.75,,,,
SC PUBLIC CHARTER DISTRICT,4701008,ODYSSEY ONLINE LEARNING SCHOOL,57.71,,,,
SC PUBLIC CHARTER DISTRICT,4701010,PALMETTO SCHOLARS ACADEMY,20.63,,,,
SC PUBLIC CHARTER DISTRICT,4701011,YORK PREPARATORY ACADEMY,41.31,,,,
SC PUBLIC CHARTER DISTRICT,4701014,SC WHITMORE SCHOOL,53.35,,,,
SC PUBLIC CHARTER DISTRICT,4701015,ROYAL LIVE OAKS ACADEMY FOR THE ARTS AND SCIENCES CHARTER,77.50,,,,
SC PUBLIC CHARTER DISTRICT,4701020,FOX CREEK CHARTER HIGH,37.44,,,,
SC PUBLIC CHARTER DISTRICT,4701021,MIDLANDS MIDDLE COLLEGE,54.11,,,,
SC PUBLIC CHARTER DISTRICT,4701022,COASTAL LEADERSHIP ACADEMY,64.63,,,,
SC PUBLIC CHARTER DISTRICT,4701023,LOWCOUNTRY LEADERSHIP CHARTER SCHOOL,48.63,,,,
SC PUBLIC CHARTER DISTRICT,4701024,CYBER ACADEMY OF SOUTH CAROLINA,69.21,,,,
SC PUBLIC CHARTER DISTRICT,4701026,GREEN CHARTER SCHOOL,24.47,,,,
SC PUBLIC CHARTER DISTRICT,4701027,BRIDGES PREPARATORY SCHOOL,39.97,,,,
SC PUBLIC CHARTER DISTRICT,4701028,SOUTH CAROLINA SCIENCE ACADEMY,71.22,,,,
SC PUBLIC CHARTER DISTRICT,4701031,GRAY COLLEGIATE ACADEMY,36.61,,,,
SC PUBLIC CHARTER DISTRICT,4701034,HIGH POINT ACADEMY,49.35,,,,
SC PUBLIC CHARTER DISTRICT,4701037,LOWCOUNTRY MONTESSORI SCHOOL,40.16,,,,
SC PUBLIC CHARTER DISTRICT,4701039,NEXT HIGH,41.90,,,,
SC PUBLIC CHARTER DISTRICT,4701041,OCEANSIDE COLLEGIATE ACADEMY,17.83,,,,
SC PUBLIC CHARTER DISTRICT,4701043,GREENVILLE TECHNICAL CHARTER HIGH SCHOOL,31.11,,,,
SC PUBLIC CHARTER DISTRICT,4701046,BRASHIER MIDDLE COLLEGE,15.46,,,,
SC PUBLIC CHARTER DISTRICT,4701047,GREER MIDDLE COLLEGE CHARTER HIGH,21.16,,,,
SC PUBLIC CHARTER DISTRICT,4701048,LEGACY EARLY COLLEGE,88.46,,,,
GOVERNOR'S SCHOOLS,5364001,SC GOVERNOR'S SCHOOL FOR ARTS AND HUMANITIES,20.43,,,,
GOVERNOR'S SCHOOLS,5395001,SC GOVERNOR'S SCHOOL FOR SCIENCE AND MATHEMATICS,15.24,,,,
