ReportCardYear,DistrictNm,SchoolNm,SCHOOLID,SCHOOLTYPECD,GRADRATE22,GRADRATE21,GRADRATE20,GRADRATE19
2022,Lancaster,Indian Land High,2901006,H,89.2,89.2,90.9,92.2
2022,Lancaster,Andrew Jackson High School,2901007,H,84.5,75.7,91.2,88.6
2022,Lancaster,Lancaster High School,2901008,H,63,77.9,77,74.3
2022,Lancaster,Lancaster,2901999,D,79.4,82.4,85.5,83.3
2022,"Laurens County School District
55",Laurens District 55 High School,3055004,H,80,81.8,79,80.4
2022,"Laurens County School District
55",Laurens County School District 55,3055999,D,80,81.8,79,80.4
2022,"Laurens County School District
56",Clinton High School,3056016,H,80.8,81.2,78.2,85.1
2022,"Laurens County School District
56",Laurens County School District 56,3056999,D,80.8,81.2,78.2,85.1
2022,Lee County School District,Lee Central High School,3101013,H,92.3,88.3,89.6,86
2022,Lee County School District,Lee County School District,3101999,D,92.3,88.3,89.6,86
2022,"Lexington County School
District One",Gilbert High School,3201001,H,88.2,88.3,86.5,86.8
2022,"Lexington County School
District One",Lexington High School,3201003,H,92.5,91.1,93.2,90.9
2022,"Lexington County School
District One",Pelion High School,3201004,H,77,84.9,87.7,83.9
2022,"Lexington County School
District One",White Knoll High School,3201057,H,81.8,86,87.9,86.6
2022,"Lexington County School
District One",River Bluff High School,3201069,H,93.9,95.1,94.5,94.4
2022,"Lexington County School
District One",Lexington County School District One,3201999,D,88.1,90,90.7,89.6
2022,Lexington District Two,Airport High School,3202009,H,81.2,78,80.2,76.8
2022,Lexington District Two,Brookland-Cayce High School,3202011,H,77.7,82.5,81.8,75.5
2022,Lexington District Two,Lexington District Two,3202999,D,79.5,80.1,80.9,76.3
2022,"Lexington County School
District Three",Batesburg-Leesville High School,3203026,H,90.7,87.1,89.1,83.6
2022,"Lexington County School
District Three",Lexington County School District Three,3203999,D,90.7,87.1,89.1,83.6
2022,Lexington School District Four,Swansea High School,3204034,H,79.7,77.6,82.6,79.9
2022,Lexington School District Four,Lexington School District Four,3204999,D,79.7,77.6,82.6,79.9
2022,"School District 5 Of Lexington
And Richland Counti",Chapin High School,3205038,H,96.1,94.9,95.7,93.9
2022,"School District 5 Of Lexington
And Richland Counti",Irmo High School International School For The Arts,3205039,H,79.7,75.4,82.4,84.7
2022,"School District 5 Of Lexington
And Richland Counti",Dutch Fork High,3205051,H,84.4,84.8,89.1,84.2
2022,"School District 5 Of Lexington
And Richland Counti",Spring Hill High School,3205057,H,96.9,97,98.1,93.9
2022,"School District 5 Of Lexington
And Richland Counti",School District 5 Of Lexington And Richland Counti,3205999,D,89,87.7,90.7,88.4
2022,"Mccormick County School
District",Mccormick High School,3301001,H,93.3,81.1,77.8,78.2
2022,"Mccormick County School
District",Mccormick County School District,3301999,D,93.3,81.1,77.8,78.2
2022,Marion County School District,Marion High School,3410002,H,78.6,79.3,88.8,74
2022,Marion County School District,Mullins High School,3410008,H,82.8,84.8,91.6,83.3
2022,Marion County School District,Marion County School District,3410999,D,80.5,81.4,88.7,78.1
2022,Marlboro County School District,Marlboro County High School,3501026,H,69.8,81.1,77.7,78.8
2022,Marlboro County School District,Marlboro County School District,3501999,D,69.8,81.1,77.7,78.8
2022,"School District Of Newberry
County",Newberry High School,3601001,H,80.7,77,80.5,84.2
2022,"School District Of Newberry
County",Mid-Carolina High School,3601002,H,87.4,91,87.3,87.9
2022,"School District Of Newberry
County",Whitmire Community School,3601004,H,69.4,94.3,92,87.8
2022,"School District Of Newberry
County",School District Of Newberry County,3601999,D,82.3,85.9,84.2,86.3
2022,"School District Of Oconee
County",Seneca Senior High School,3701005,H,83.3,85.3,85.9,84
2022,"School District Of Oconee
County",Walhalla High School,3701007,H,82.6,87.5,91.5,93.6
2022,"School District Of Oconee
County",West-Oak High School,3701008,H,78.1,78.4,79.8,80.5
2022,"School District Of Oconee
County",School District Of Oconee County,3701999,D,81.8,84.3,86.2,86.4
2022,"Orangeburg County School
District",Bethune-Bowman Middle/High,3809010,H,90.5,92.2,89.5,98.1
2022,"Orangeburg County School
District",Edisto High School,3809024,H,72.9,80.9,84.6,76.4
2022,"Orangeburg County School
District",Orangeburg-Wilkinson High School,3809028,H,76.2,69.9,73,77.5
2022,"Orangeburg County School
District",North Middle High School,3809042,H,70.6,85.2,78.7,96.8
2022,"Orangeburg County School
District",Lake Marion High School,3809048,H,86,66.9,74.1,80.4
2022,"Orangeburg County School
District",Branchville High School,3809049,H,100,94.3,91.2,90.7
2022,"Orangeburg County School
District",Hunter- Kinard- Tyler High School,3809054,H,96.6,84.2,86,85.7
2022,"Orangeburg County School
District",Ocsd High School For Health Professions,3809601,H,100,96.9,100,99
2022,"Orangeburg County School
District",Orangeburg County School District,3809999,D,80.4,75.5,79.1,80.4
2022,"School District Of Pickens
County",D.W.Daniel High School,3901003,H,91.3,91.8,92,89.5
2022,"School District Of Pickens
County",Easley High School,3901005,H,86.1,90,88.9,86.5
2022,"School District Of Pickens
County",Liberty High School,3901006,H,82.3,82.3,86.4,80.1
2022,"School District Of Pickens
County",Pickens High School,3901008,H,78.2,81.1,83.2,82.6
2022,"School District Of Pickens
County",School District Of Pickens County,3901999,D,84.8,87.1,87.7,85
2022,"Richland County School District
One",Columbia High School,4001002,H,78.8,90.8,76.6,77.1
2022,"Richland County School District
One",Dreher High School,4001004,H,90.2,88.1,89.5,86.8
2022,"Richland County School District
One",Eau Claire High School,4001005,H,84.1,79.7,73.8,74
2022,"Richland County School District
One",Ac Flora High School,4001007,H,91.1,90.1,90.6,92.3
2022,"Richland County School District
One",C. A. Johnson High School,4001011,H,73.9,74.2,70.7,62.6
2022,"Richland County School District
One",W.J. Keenan High School,4001012,H,93,85.3,80.2,77.8
2022,"Richland County School District
One",Lower Richland High School,4001013,H,81.4,85.5,81.8,81.3
2022,"Richland County School District
One",Richland One Middle College,4001601,H,100,95.1,100,92.1
2022,"Richland County School District
One",Pendergrass Fairwold School,4001905,H,0,0,0,0
2022,"Richland County School District
One",Richland County School District One,4001999,D,86,85.8,82.9,82.2
2022,Richland School District Two,Spring Valley High School,4002069,H,83.3,83.8,89.7,91.2
2022,Richland School District Two,Richland Northeast High School,4002079,H,78.6,82.5,82,81.9
2022,Richland School District Two,Ridge View High School,4002084,H,91.4,90.6,89.4,87.1
2022,Richland School District Two,Blythewood High School,4002092,H,92.1,91.9,93.9,93.8
2022,Richland School District Two,Richland School District Two ~ Westwood Hs,4002100,H,79,83.1,87.1,86.8
2022,Richland School District Two,Richland School District Two,4002999,D,85.1,86.6,88.8,88.9
2022,Saluda School District One,Saluda High School,4101003,H,82.8,76.2,81,83.3
2022,Saluda School District One,Saluda School District One,4101999,D,82.8,76.2,81,83.3
2022,"Spartanburg School District
One",Chapman High School,4201002,H,95.2,94.3,96.2,93.6
2022,"Spartanburg School District
One",Landrum High School,4201003,H,92,89.3,91.8,87.6
2022,"Spartanburg School District
One",Spartanburg School District One,4201999,D,94,92.4,94.1,91.1
2022,"Spartanburg School District
Two",Boiling Springs High School,4202012,H,88.3,94.4,90,91.8
2022,"Spartanburg School District
Two",Chesnee High,4202013,H,90.9,88.6,81.4,85.5
2022,"Spartanburg School District
Two",Spartanburg School District Two,4202999,D,88.8,92.9,87.9,90.5
2022,"Spartanburg School District
Three",Broome High,4203026,H,89.1,91.9,85.5,84.4
2022,"Spartanburg School District
Three",Spartanburg School District Three,4203999,D,89.1,91.9,85.5,84.4
2022,"Spartanburg School District
Four",Woodruff High School,4204036,H,78.7,83.2,85.6,84.3
2022,"Spartanburg School District
Four",Spartanburg School District Four,4204999,D,78.7,83.2,85.6,84.3
2022,"Spartanburg School District
Five",James F. Byrnes High School,4205043,H,83.4,87.3,88.1,89.3
2022,"Spartanburg School District
Five",Spartanburg School District Five,4205999,D,83.4,87.3,88.1,89.3
2022,Spartanburg School District Six,Dorman High School,4206053,H,86.2,86.3,87.3,86.9
2022,Spartanburg School District Six,Spartanburg School District Six,4206999,D,86.2,86.3,87.3,86.9
2022,"Spartanburg County School
District 7",Spartanburg High School,4207073,H,85.4,83.6,85.7,81.6
2022,"Spartanburg County School
District 7",Spartanburg County School District 7,4207999,D,85.4,83.6,85.7,81.6
2022,Sumter School District,Sumter High School,4301024,H,79.4,81.5,82.1,82.9
2022,Sumter School District,Crestwood High School,4301042,H,86.3,81.4,81.5,87.5
2022,Sumter School District,Lakewood High School,4301043,H,66.8,76.4,78.6,80.8
2022,Sumter School District,Sumter School District,4301999,D,77.9,80.2,81.1,83.7
2022,Union County Schools,Union County High School,4401005,H,78.9,70.8,76.7,74.8
2022,Union County Schools,Union County Schools,4401999,D,78.9,70.8,76.7,74.8
2022,"Williamsburg County School
District",Hemingway High School,4501006,H,81.7,86.5,91.9,77.5
2022,"Williamsburg County School
District",Kingstree High School,4501008,H,66.4,61.4,75.2,59.8
2022,"Williamsburg County School
District",C. E. Murray High,4501012,H,89.7,65,94,90.8
2022,"Williamsburg County School
District",Williamsburg County School District,4501999,D,74.4,66.1,84.3,73.1
2022,York School District One,York Comprehensive High School,4601003,H,84.3,82.1,83.7,81.9
2022,York School District One,York School District One,4601999,D,84.3,82.1,83.7,81.9
2022,Clover School District (York 2),Clover High School,4602010,H,95.8,91.4,92.2,87.7
2022,Clover School District (York 2),Clover School District (York 2),4602999,D,95.8,91.4,92.2,87.7
2022,"Rock Hill School District (York
3)",Northwestern High School,4603016,H,85,83.9,87.1,84.1
2022,"Rock Hill School District (York
3)",Rock Hill High,4603017,H,82,78.8,82.2,78.1
2022,"Rock Hill School District (York
3)",South Pointe High School,4603041,H,81.9,83.9,86.8,86.7
2022,"Rock Hill School District (York
3)",Rock Hill School District (York 3),4603999,D,83,81.9,85.1,82.4
2022,Fort Mill School District,Fort Mill High School,4604036,H,96.2,96.1,97,96.7
2022,Fort Mill School District,Nation Ford High School,4604054,H,96.2,94.5,94.5,94.1
2022,Fort Mill School District,Catawba Ridge High School,4604061,H,97.7,94,0,0
2022,Fort Mill School District,Fort Mill School District,4604999,D,96.6,95,95.7,95.4
2022,"South Carolina Public Charter
School District",Palmetto Scholars Academmy,4701010,H,98.6,95.5,100,100
2022,"South Carolina Public Charter
School District",York Preparatory Academy,4701011,H,95,92,99.2,97.5
2022,"South Carolina Public Charter
School District",Sc Whitmore School,4701014,H,67.6,58.9,54.3,52.6
2022,"South Carolina Public Charter
School District",Fox Creek High School,4701020,H,89.9,92,91.6,84.7
2022,"South Carolina Public Charter
School District",Midlands Middle College,4701021,H,70.8,74.5,65.6,53.2
2022,"South Carolina Public Charter
School District",Green Charter School,4701026,H,95.5,100,100,0
2022,"South Carolina Public Charter
School District",Bridges Preparatory School,4701027,H,100,96.8,97.3,0
2022,"South Carolina Public Charter
School District","Pee Dee Math, Science And Technolog",4701029,H,93.3,*,0,0
2022,"South Carolina Public Charter
School District",Riverwalk Academy,4701033,H,81,*,0,0
2022,"South Carolina Public Charter
School District",High Point Academy,4701034,H,97.8,95.5,94.6,87.7
2022,"South Carolina Public Charter
School District",Lowcountry Montessori School,4701037,H,75,68.8,88.2,92
2022,"South Carolina Public Charter
School District",Next High,4701039,H,77.6,77.4,85,76.8
2022,"South Carolina Public Charter
School District",Greenville Technical Charter High School,4701043,H,100,96.8,99,99
2022,"South Carolina Public Charter
School District",Greer Middle College Charter High School,4701047,H,98.2,100,100,98.9
2022,"South Carolina Public Charter
School District",Legacy Early College,4701048,H,92.4,94,97.4,95
2022,"South Carolina Public Charter
School District",Polaris Tech Charter School,4701053,H,89.7,94.1,0,0
2022,"South Carolina Public Charter
School District",Charleston Advancement Academy,4701055,H,8.8,10.1,4.4,1.1
